t,XPos,YPos
45.6,-0.8258094,-1.821508
45.7,-1.027805,-1.715679
45.8,-1.169701,-1.622278
45.9,-1.257427,-1.555272
46,-1.293018,-1.525813
46.1,-1.279576,-1.537102
46.2,-1.215908,-1.587936
46.3,-1.10219,-1.668866
46.4,-0.9338448,-1.768563
46.5,-0.7139008,-1.868208
46.6,-0.4456114,-1.949725
46.7,-0.1516556,-1.994211
46.8,0.1541068,-1.994
46.9,0.4408845,-1.95075
47,0.6966481,-1.874707
47.1,0.9114027,-1.780236
47.2,1.074144,-1.687059
47.3,1.184171,-1.61175
47.4,1.241553,-1.567974
47.5,1.248804,-1.562206
47.6,1.205322,-1.59599
47.7,1.112882,-1.661761
47.8,0.9615456,-1.753672
47.9,0.7610756,-1.849493
48,0.5167633,-1.932047
48.1,0.2374239,-1.985849
48.2,-0.05725313,-1.999149
48.3,-0.3437204,-1.970201
48.4,-0.6060495,-1.905924
48.5,-0.8435159,-1.81339
48.6,-1.013085,-1.724411
48.7,-1.133772,-1.647583
48.8,-1.202312,-1.598262
48.9,-1.221017,-1.584019
49,-1.191569,-1.606288
49.1,-1.113701,-1.661222
49.2,-0.9857815,-1.740182
49.3,-0.806366,-1.83022
49.4,-0.5800054,-1.914012
49.5,-0.3174217,-1.974603
49.6,-0.0348669,-1.999655
49.7,0.2550382,-1.983662
49.8,0.5223818,-1.930542
49.9,0.7538325,-1.852462
50,0.9435081,-1.763444
50.1,1.080563,-1.682965
50.2,1.164083,-1.626316
50.3,1.198676,-1.600992
50.4,1.183716,-1.612083
50.5,1.119988,-1.656988
50.6,1.005896,-1.728633
50.7,0.8427466,-1.813762
50.8,0.629651,-1.898263
50.9,0.3762242,-1.964257
51,0.1027029,-1.997332
51.1,-0.183862,-1.991505
51.2,-0.4483024,-1.949084
51.3,-0.6894609,-1.877369
51.4,-0.8859274,-1.793056
51.5,-1.033259,-1.712408
51.6,-1.131852,-1.648911
51.7,-1.179348,-1.615282
51.8,-1.178131,-1.61617
51.9,-1.128461,-1.651229
52,-1.028515,-1.715262
52.1,-0.8778851,-1.797026
52.2,-0.6784011,-1.881398
52.3,-0.4388206,-1.951223
52.4,-0.1639685,-1.993266
52.5,0.1107265,-1.996929
52.6,0.3824727,-1.963057
52.7,0.6276251,-1.898935
52.8,0.8361098,-1.816822
52.9,0.9955093,-1.734634
53,1.10278,-1.668495
53.1,1.162444,-1.627489
53.2,1.17292,-1.619956
53.3,1.135375,-1.646484
53.4,1.049748,-1.702349
53.5,0.9151043,-1.778349
53.6,0.7345936,-1.860186
53.7,0.5088806,-1.934168
53.8,0.2509992,-1.984172
53.9,-0.02158596,-1.999857
54,-0.2966568,-1.977834
54.1,-0.551672,-1.922375
54.2,-0.7714144,-1.845233
54.3,-0.9433575,-1.76354
54.4,-1.068461,-1.690671
54.5,-1.143058,-1.641162
54.6,-1.16941,-1.622492
54.7,-1.148195,-1.637572
54.8,-1.078546,-1.684255
54.9,-0.9599015,-1.754582
55,-0.79343,-1.83588
55.1,-0.5776842,-1.914723
55.2,-0.3329667,-1.972053
55.3,-0.06363471,-1.998943
55.4,0.2163572,-1.98823
55.5,0.4736578,-1.943078
55.6,0.7044157,-1.87184
55.7,0.889832,-1.79114
55.8,1.030668,-1.713969
55.9,1.121028,-1.656286
56,1.16384,-1.626491
56.1,1.158804,-1.630083
56.2,1.105703,-1.666554
56.3,1.003785,-1.729851
56.4,0.8532552,-1.808849
56.5,0.6570266,-1.888994
56.6,0.417884,-1.95559
56.7,0.1519923,-1.993392
56.8,-0.1210132,-1.996291
56.9,-0.3884264,-1.961891
57,-0.6283641,-1.898723
57.1,-0.8260849,-1.821413
57.2,-0.9772872,-1.744957
57.3,-1.081435,-1.682403
57.4,-1.135735,-1.646239
57.5,-1.142084,-1.641841
57.6,-1.09981,-1.670453
57.7,-1.010463,-1.725959
57.8,-0.8728479,-1.799461
57.9,-0.6931086,-1.87603
58,-0.4695475,-1.944066
58.1,-0.2225735,-1.98754
58.2,0.04191096,-1.99954
58.3,0.2996535,-1.977415
58.4,0.5422564,-1.925061
58.5,0.7466151,-1.855391
58.6,0.9096268,-1.78116
58.7,1.024272,-1.717806
58.8,1.089978,-1.676886
58.9,1.109133,-1.664279
59,1.080208,-1.683194
59.1,1.00315,-1.730226
59.2,0.8812984,-1.795359
59.3,0.7132694,-1.868472
59.4,0.5070955,-1.934619
59.5,0.2683516,-1.981877
59.6,0.01605903,-1.999896
59.7,-0.2476863,-1.984592
59.8,-0.4920636,-1.938491
59.9,-0.6957307,-1.875065
60,-0.8595098,-1.805876
